facility_id,aspen_facid,status,certification_type,county,fips_county_code,participation_date,approval_date,type_of_care,critical_access,facility_name,address,city,zip,latitude,longitude,contact_email,contact_phone,num_beds,in_psps_zone,in_fire_zone,in_earthquake_zone,proximity_to_dispatch_center,outage_likelihood_score,google_map_link
10000001,CA010000001,OPEN,LICENSED AND CERTIFIED,SONOMA,6097,29532.0,45659.0,,,VINEYARD POST ACUTE,101 MONROE ST,PETALUMA,94954,38.256552,-122.628024,SHANE.BLOOD@PACS.COM,(707) 763-4109,99,,,,,,"https://www.google.com/maps/search/?api=1&query=38.256552,-122.628024"
10000003,CA010000003,OPEN,LICENSED AND CERTIFIED,SONOMA,6097,27061.0,45441.0,,,CREEKSIDE REHABILITATION & BEHAVIORAL HEALTH,850 SONOMA AVE,SANTA ROSA,95404,38.438712,-122.7059775,RAUL@HIBORNCARE.COM,(707) 303-8810,181,,,,,,"https://www.google.com/maps/search/?api=1&query=38.438712,-122.7059775"
10000004,CA010000004,OPEN,LICENSED AND CERTIFIED,DEL NORTE,6015,26190.0,45531.0,,,CRESCENT CITY SKILLED NURSING,1280 MARSHALL ST,CRESCENT CITY,95531,41.768559,-124.200918,RPORTER@CCSNCARE.COM,(707) 464-6151,99,,,,,,"https://www.google.com/maps/search/?api=1&query=41.768559,-124.200918"
10000005,CA010000005,OPEN,LICENSED AND CERTIFIED,SONOMA,6097,35538.0,45593.0,,,RIDGEWAY POST ACUTE,523 HAYES LN,PETALUMA,94952,38.22156,-122.646834,MICHAEL.ANDRASZCZYK@SANTAROSAPOSTACUTE.COM,(707) 763-2457,79,,,,,,"https://www.google.com/maps/search/?api=1&query=38.22156,-122.646834"
10000024,CA010000024,OPEN,LICENSED AND CERTIFIED,HUMBOLDT,6023,26855.0,45558.0,,,"GRANADA REHAB & WELLNESS CENTER, LP",2885 HARRIS ST,EUREKA,95503,40.781097,-124.13547,ADMINISTRATOR@GRANADAREHABWC.COM,(707) 443-1627,87,,,,,,"https://www.google.com/maps/search/?api=1&query=40.781097,-124.13547"
10000026,CA010000026,OPEN,LICENSED AND CERTIFIED,SONOMA,6097,25112.0,45642.0,,,APPLE VALLEY POST-ACUTE REHAB,1035 GRAVENSTEIN AVE,SEBASTOPOL,95472,38.38950729,-122.8154125,BMARSHALL@APPLEVALLEYREHAB.COM,(707) 823-7675,95,,,,,,"https://www.google.com/maps/search/?api=1&query=38.38950729,-122.8154125"
10000028,CA010000028,OPEN,LICENSED AND CERTIFIED,SONOMA,6097,25517.0,45687.0,,,NORTH BAY POST ACUTE,300 DOUGLAS ST,PETALUMA,94952,38.228193,-122.6447955,NATHAN.NOE@NORTHBAYPOSTACUTE.COM,(707) 763-6887,98,,,,,,"https://www.google.com/maps/search/?api=1&query=38.228193,-122.6447955"
10000033,CA010000033,OPEN,LICENSED AND CERTIFIED,SONOMA,6097,24779.0,45372.0,,,SANTA ROSA POST ACUTE,4650 HOEN AVE,SANTA ROSA,95405,38.44098,-122.665284,K.BILLS@SANTAROSAPOSTACUTE.COM,(707) 546-0471,99,,,,,,"https://www.google.com/maps/search/?api=1&query=38.44098,-122.665284"
10000034,CA010000034,OPEN,LICENSED AND CERTIFIED,SONOMA,6097,24473.0,45679.0,,,SONOMA POST ACUTE,678 2ND ST W,SONOMA,95476,38.289087,-122.4610785,JON.OLSON@PACSHC.COM,(707) 938-1096,83,,,,,,"https://www.google.com/maps/search/?api=1&query=38.289087,-122.4610785"
10000037,CA010000037,OPEN,LICENSED AND CERTIFIED,SONOMA,6097,27226.0,45692.0,,,CLOVERDALE HEALTHCARE CENTER,300 CHERRY CREEK RD,CLOVERDALE,95425,38.796426,-123.024672,FAC_CLOVERDALE-ED@ENSIGNSERVICES.NET,(949) 606-5477,72,,,,,,"https://www.google.com/maps/search/?api=1&query=38.796426,-123.024672"
10000043,CA010000043,OPEN,LICENSED AND CERTIFIED,SONOMA,6097,27426.0,45462.0,,,PARK VIEW POST ACUTE,3751 MONTGOMERY DR,SANTA ROSA,95405,38.4534,-122.6759985,LENSIGN@ENSIGNSERVICES.NET,(707) 525-1250,116,,,,,,"https://www.google.com/maps/search/?api=1&query=38.4534,-122.6759985"
10000047,CA010000047,OPEN,LICENSED AND CERTIFIED,MENDOCINO,6045,26755.0,45062.0,,,NORTHBROOK HEALTHCARE CENTER,64 NORTHBROOK WAY,WILLITS,95490,39.415752,-123.360948,RENEWALS@ENSIGNSERVICES.NET,(707) 459-5592,70,,,,,,"https://www.google.com/maps/search/?api=1&query=39.415752,-123.360948"
10000052,CA010000052,OPEN,LICENSED AND CERTIFIED,SONOMA,6097,25345.0,45673.0,,,PETALUMA POST-ACUTE REHAB,1115 B ST,PETALUMA,94952,38.222226,-122.645277,HALEYM@ASPENSKILLEDHEALTH.COM,(707) 765-3030,90,,,,,,"https://www.google.com/maps/search/?api=1&query=38.222226,-122.645277"
10000059,CA010000059,OPEN,LICENSED AND CERTIFIED,SONOMA,6097,25943.0,45623.0,,,NORTHVINE POSTACUTE CARE,446 ARROWOOD DR,SANTA ROSA,95407,38.421189,-122.7186585,ADMINISTRATOR@NORTHVINEPOSTACUTE.COM,(707) 528-2100,62,,,,,,"https://www.google.com/maps/search/?api=1&query=38.421189,-122.7186585"
10000060,CA010000060,OPEN,LICENSED AND CERTIFIED,HUMBOLDT,6023,24473.0,45317.0,,,"SEAVIEW REHABILITATION & WELLNESS CENTER, LP",6400 PURDUE DR,EUREKA,95503,40.730886,-124.20468,ADMINISTRATOR@SEAVIEWREHABWC.COM,(707) 443-5668,99,,,,,,"https://www.google.com/maps/search/?api=1&query=40.730886,-124.20468"
10000062,CA010000062,OPEN,LICENSED AND CERTIFIED,MENDOCINO,6045,35432.0,45495.0,,,"SHERWOOD OAKS POST ACUTE CARE, LLC",130 DANA ST,FORT BRAGG,95437,39.441168,-123.7879215,LUCYQX@SERENETHOSCARE.COM,(510) 962-8298,79,,,,,,"https://www.google.com/maps/search/?api=1&query=39.441168,-123.7879215"
10000066,CA010000066,OPEN,LICENSED AND CERTIFIED,SONOMA,6097,27211.0,45719.0,,,BROADWAY VILLA POST ACUTE,1250 BROADWAY,SONOMA,95476,38.27826,-122.458419,RENEWALS@ENSIGNSERVICES.NET,(707) 938-8406,144,,,,,,"https://www.google.com/maps/search/?api=1&query=38.27826,-122.458419"
10000075,CA010000075,OPEN,LICENSED AND CERTIFIED,HUMBOLDT,6023,26717.0,44834.0,,,"FORTUNA REHABILITATION & WELLNESS CENTER, LP",2321 NEWBURG RD,FORTUNA,95540,40.58978733,-124.1416839,ADMINISTRATOR@FORTUNAREHABWC.COM,(707) 725-4467,104,,,,,,"https://www.google.com/maps/search/?api=1&query=40.58978733,-124.1416839"
10000076,CA010000076,OPEN,LICENSED AND CERTIFIED,SONOMA,6097,26471.0,45406.0,,,SUMMERFIELD HEALTHCARE CENTER,1280 SUMMERFIELD RD,SANTA ROSA,95405,38.445543,-122.6640195,RENEWALS@ENSIGNSERVICES.NET,(707) 539-1515,70,,,,,,"https://www.google.com/maps/search/?api=1&query=38.445543,-122.6640195"
10000078,CA010000078,OPEN,LICENSED AND CERTIFIED,HUMBOLDT,6023,29373.0,,,,"EUREKA REHABILITATION & WELLNESS CENTER, LP",2353 23RD ST,EUREKA,95501,40.78694148,-124.1421371,ADMINISTRATOR@EUREKAREHABWC.COM,(707) 445-3261,99,,,,,,"https://www.google.com/maps/search/?api=1&query=40.78694148,-124.1421371"
10000079,CA010000079,OPEN,LICENSED AND CERTIFIED,SONOMA,6097,29399.0,45478.0,,,HILLCREST POST ACUTE,450 HAYES LN,PETALUMA,94952,38.22237,-122.6478825,CWILBUR@WESTHARBORHC.COM,(707) 778-8686,59,,,,,,"https://www.google.com/maps/search/?api=1&query=38.22237,-122.6478825"
10000080,CA010000080,OPEN,LICENSED AND CERTIFIED,MENDOCINO,6045,24574.0,45695.0,,,UKIAH POST ACUTE,1349 S DORA ST,UKIAH,95482,39.130182,-123.2081595,RENEWALS@ENSIGNSERVICES.NET,(707) 462-8864,54,,,,,,"https://www.google.com/maps/search/?api=1&query=39.130182,-123.2081595"
10000082,CA010000082,OPEN,LICENSED AND CERTIFIED,MENDOCINO,6045,25082.0,45429.0,,,REDWOOD COVE HEALTHCARE CENTER,1162 S DORA ST,UKIAH,95482,39.13524,-123.2101485,COBY.PLOEGER@PACS.COM,(507) 215-2531,68,,,,,,"https://www.google.com/maps/search/?api=1&query=39.13524,-123.2101485"
